企业代号,发票号码,开票日期,销方单位代号,金额,税额,价税合计,发票状态
E124,15212491,2017/9/6,D00740,970873.79 ,29126.21 ,1000000.00 ,作废发票
E124,15212492,2017/9/6,D00740,970873.79 ,29126.21 ,1000000.00 ,作废发票
E124,15212493,2017/9/6,D00740,970873.79 ,29126.21 ,1000000.00 ,作废发票
E124,15212494,2017/9/6,D00740,210753.90 ,6322.62 ,217076.52 ,作废发票
E124,15212498,2017/9/6,D00740,210753.90 ,6322.62 ,217076.52 ,作废发票
E124,15212502,2017/9/15,D00528,970873.79 ,29126.21 ,1000000.00 ,作废发票
E124,08986817,2017/9/19,D00585,946847.93 ,104153.27 ,1051001.20 ,作废发票
E124,08986824,2017/10/9,D00672,900900.90 ,99099.10 ,1000000.00 ,作废发票
E124,08986825,2017/10/9,D00672,900900.90 ,99099.10 ,1000000.00 ,作废发票
E124,08986826,2017/10/9,D00672,720720.72 ,79279.28 ,800000.00 ,作废发票
E124,08986829,2017/10/10,D00672,900900.90 ,99099.10 ,1000000.00 ,作废发票
E124,15212515,2017/10/17,D18704,342857.14 ,17142.86 ,360000.00 ,作废发票
E124,15212516,2017/10/17,D18704,342857.14 ,17142.86 ,360000.00 ,作废发票
E124,08986832,2017/10/20,D00085,388018.02 ,42681.98 ,430700.00 ,作废发票
E124,08986833,2017/10/20,D00085,900900.90 ,99099.10 ,1000000.00 ,作废发票
E124,08986834,2017/10/20,D00085,900900.90 ,99099.10 ,1000000.00 ,作废发票
E124,08986835,2017/10/20,D00085,900900.90 ,99099.10 ,1000000.00 ,作废发票
E124,03199526,2017/10/23,D00085,401100.09 ,44121.01 ,445221.10 ,作废发票
E124,03199527,2017/10/23,D00085,654882.41 ,72037.07 ,726919.48 ,作废发票
E124,15212519,2017/10/24,D00085,654882.41 ,72037.07 ,726919.48 ,作废发票
E124,15212522,2017/10/24,D00085,900900.90 ,99099.10 ,1000000.00 ,作废发票
E124,03199534,2017/12/1,D00518,161547.00 ,17770.17 ,179317.17 ,作废发票
E124,08676898,2017/12/27,D00661,970873.79 ,29126.21 ,1000000.00 ,作废发票
E124,08676899,2017/12/27,D00661,970873.79 ,29126.21 ,1000000.00 ,作废发票
E124,08676900,2017/12/27,D00661,970873.79 ,29126.21 ,1000000.00 ,作废发票
E124,08676901,2017/12/27,D00661,603492.23 ,18104.77 ,621597.00 ,作废发票
E124,08676902,2017/12/27,D00666,970873.79 ,29126.21 ,1000000.00 ,作废发票
E124,09506065,2017/12/27,D00666,592815.53 ,17784.47 ,610600.00 ,作废发票
E124,09506066,2017/12/27,D00666,970873.79 ,29126.21 ,1000000.00 ,作废发票
E124,09506067,2017/12/27,D00661,970873.79 ,29126.21 ,1000000.00 ,作废发票
E124,09506068,2017/12/27,D00661,674757.28 ,20242.72 ,695000.00 ,作废发票
E124,09506079,2017/12/28,D00615,900900.90 ,99099.10 ,1000000.00 ,作废发票
E124,09506086,2017/12/29,D00740,970873.79 ,29126.21 ,1000000.00 ,作废发票
E124,09506098,2018/1/4,D00134,283875.00 ,31226.25 ,315101.25 ,作废发票
E124,03822656,2018/1/4,D00018,270300.00 ,29733.00 ,300033.00 ,作废发票
E124,03822657,2018/1/4,D00018,345213.00 ,37973.43 ,383186.43 ,作废发票
E124,09506099,2018/1/4,D00134,255743.24 ,28131.76 ,283875.00 ,作废发票
E124,03822658,2018/1/4,D00018,243513.51 ,26786.49 ,270300.00 ,作废发票
