Date,Open,High,Low,Close,Turnover
 2019-01-08,4.66,5.04,4.62,4.9,98034392
 2019-01-09,4.9,4.95,4.83,4.84,65148176
 2019-01-10,4.84,4.97,4.83,4.85,47151232
 2019-01-11,4.85,4.93,4.82,4.9,41323556
 2019-01-14,4.89,4.96,4.85,4.89,38016148
 2019-01-15,4.9,4.94,4.83,4.92,47612096
 2019-01-16,4.9,4.92,4.85,4.87,33845428
 2019-01-17,4.76,4.76,4.51,4.61,102539568
 2019-01-18,4.59,4.68,4.55,4.64,74922096
 2019-01-21,4.64,4.7,4.59,4.66,50770216
 2019-01-22,4.64,4.76,4.61,4.68,55981080
 2019-01-23,4.63,4.66,4.53,4.58,65169080
 2019-01-24,4.49,4.53,4.41,4.42,120077688
 2019-01-25,4.4,4.5,4.39,4.46,76264576
 2019-01-28,4.5,4.52,4.4,4.41,47239480
 2019-01-29,4.38,4.39,4.03,4.28,68502592
 2019-01-30,4.23,4.3,4.16,4.17,41653752
 2019-01-31,4.2,4.21,4.05,4.1,52704952
 2019-02-01,4.12,4.26,4.12,4.26,49759416
 2019-02-11,4.29,4.39,4.27,4.38,51762564
 2019-02-12,4.37,4.58,4.36,4.52,89643952
 2019-02-13,4.57,4.97,4.56,4.97,250958288
 2019-02-14,5.3,5.3,4.92,4.99,320759616
 2019-02-15,4.95,5.48,4.91,5.28,336881760
 2019-02-18,5.33,5.54,5.23,5.45,321317376
 2019-02-19,5.46,5.65,5.33,5.5,323828768
 2019-02-20,5.46,5.5,5.32,5.38,216989088
 2019-02-21,5.37,5.57,5.27,5.36,278169376
 2019-02-22,5.3,5.53,5.27,5.45,216497552
 2019-02-25,5.6,5.9,5.52,5.85,384274688
 2019-02-26,5.83,6.09,5.56,5.78,390854368
 2019-02-27,5.7,5.84,5.5,5.61,217831776
 2019-02-28,5.62,5.78,5.6,5.67,123620720
 2019-03-01,5.74,5.78,5.59,5.72,130190584
 2019-03-04,5.77,5.97,5.71,5.8,258780320
 2019-03-05,5.79,6.34,5.74,6.27,352177440
