Date,Open,High,Low,Close,Turnover
 2019-01-08,24.9,25.16,24.63,24.79,6655691
 2019-01-09,25,25.33,24.7,24.76,6916817
 2019-01-10,24.66,24.99,24.16,24.74,6071960
 2019-01-11,24.77,25,24.43,24.7,4428992
 2019-01-14,24.79,24.8,24.3,24.46,5383955
 2019-01-15,24.52,25,24.4,24.96,10263141
 2019-01-16,24.99,25.12,24.7,25.06,7337821
 2019-01-17,25,25.01,24.48,24.5,9515779
 2019-01-18,24.55,24.62,24.11,24.5,11627254
 2019-01-28,24.6,24.94,23.04,24.14,23090670
 2019-01-29,23.86,24.68,23.57,24.66,18093172
 2019-01-30,24.4,24.92,24.24,24.38,7139244
 2019-01-31,24.27,25.1,24.1,25,10785924
 2019-02-01,25.08,25.35,24.75,25.11,12398516
 2019-02-11,25.07,25.65,24.85,25.63,14983592
 2019-02-12,25.55,25.85,25.12,25.33,15070973
 2019-02-13,25.29,25.51,25.05,25.4,12391473
 2019-02-14,25.36,25.99,25.22,25.77,12095485
 2019-02-15,25.65,25.96,24.9,25.16,14436211
 2019-02-18,25.25,25.63,25.03,25.54,19278494
 2019-02-19,25.55,25.55,24.61,24.89,17165100
 2019-02-20,24.89,25.19,24.61,24.75,11108079
 2019-02-21,24.7,24.71,24,24.56,20248636
 2019-02-22,24.42,24.49,23.92,24.12,27431574
 2019-02-25,24,24.82,23.8,24.77,51781264
 2019-02-26,24.59,24.59,23.98,24.08,35645392
 2019-02-27,24.08,24.43,23.86,23.94,26793048
 2019-02-28,23.95,24.15,23.83,24.15,16449586
 2019-03-01,24.23,24.35,24,24.29,21430434
 2019-03-04,24.35,25.33,24.34,25.07,46065612
 2019-03-05,25.04,25.48,24.56,24.94,28324544
 2019-03-06,24.8,24.99,24.4,24.62,25121168
 2019-03-07,24.49,24.5,24.01,24.2,22765396
 2019-03-08,24,24.35,23.71,23.81,19041032
 2019-03-11,23.81,24.29,23.6,24.25,25312536
 2019-03-12,24.31,26.6,24.13,25.97,67244768
 2019-03-13,25.97,26,24.92,25.24,36487224
 2019-03-14,25.01,25.59,24.93,25.16,17558138
 2019-03-15,25.3,25.7,25.11,25.32,24037706
 2019-03-18,25.3,26.18,25.15,25.81,35235704
 2019-03-19,25.94,26.03,25.42,25.58,21552074
 2019-03-20,25.6,26.78,25.5,26.39,41193688
 2019-03-21,26.46,26.63,26.12,26.31,19590296
 2019-03-22,26.37,26.38,25.44,25.78,21550844
 2019-03-25,25.2,25.63,24.88,24.9,27990840
 2019-03-26,24.97,25.19,24.68,24.8,15879513
 2019-03-27,24.88,25.31,24.67,25.3,17422340
 2019-03-28,25.19,25.44,25,25.12,12271773
 2019-03-29,25.3,25.91,25.17,25.85,22882446
 2019-04-01,25.95,26.56,25.83,26.31,26751828
 2019-04-02,26.3,26.45,25.72,25.88,21569080
 2019-04-03,25.82,25.83,25.5,25.8,19327876
 2019-04-04,25.79,26.2,25.74,26.04,26524240
 2019-04-08,26.1,27,26.08,26.71,32985000
 2019-04-09,26.58,27.88,26.36,27.48,35867776
 2019-04-10,27.16,28.05,26.88,27.53,23687524
 2019-04-11,27.55,27.7,26.34,26.38,23862432
 2019-04-12,26.4,27.05,26.27,26.69,14674980
 2019-04-15,26.85,27.56,26.5,26.54,17263660
 2019-04-16,26.32,27.2,26.2,27.04,12686203
 2019-04-17,27.02,27.4,26.72,27.38,17760196
 2019-04-18,27.39,27.65,27.11,27.2,13595011
 2019-04-19,27.26,27.38,26.47,26.75,20807166
 2019-04-22,26.5,26.61,25.71,25.78,20949140
 2019-04-23,25.76,27.28,25.69,26.95,31486666
 2019-04-24,26.96,27.08,26.51,26.85,18536682
 2019-04-25,26.75,27.85,26.6,26.76,30365996
 2019-04-26,26.55,26.96,25.81,25.9,20629508
 2019-04-29,25.96,26.8,25.45,26.3,19374376
 2019-04-30,26.46,28.05,26.32,27.83,37230208
 2019-05-06,26.8,27.4,25.65,26.3,33635848
 2019-05-07,26.3,27.8,26.06,27.75,36258248
 2019-05-08,27.17,27.37,25.9,26.04,36012896
 2019-05-09,25.73,26.17,24.73,24.82,32811348
 2019-05-10,25.17,25.54,24.27,25.36,27778414
 2019-05-13,24.99,25.71,24.75,25.21,18006748
 2019-05-14,24.91,25.6,24.75,25.24,13774144
 2019-05-15,25.4,26.25,25.31,26.14,20785438
 2019-05-16,26.12,26.39,25.85,26,10919454
 2019-05-17,26,26,24.92,25.14,20180620
 2019-05-20,25.1,25.1,24.42,24.88,13936418
 2019-05-21,24.85,25.31,24.71,25.18,13536000
 2019-05-22,25.12,25.38,25.01,25.15,9819788
 2019-05-23,25.1,25.1,24.55,24.65,10107908
 2019-05-24,24.62,25,24.61,24.81,8290406
 2019-05-27,24.87,25.31,24.65,25.25,9549488
 2019-05-28,25.18,25.73,25.05,25.68,17783328
 2019-05-29,25.33,25.5,25.09,25.25,9950677
 2019-05-30,25.18,25.42,24.85,25.16,9505148
 2019-05-31,25.18,25.3,24.75,25.07,7392641
 2019-06-03,25.2,25.35,24.45,24.74,17600068
 2019-06-04,24.63,24.69,23.86,24.08,20216292
