企业代号,发票号码,开票日期,销方单位代号,金额,税额,价税合计,发票状态
E1,15040454,2017/8/11,A02994,46153.85,7846.15,54000,作废发票
E1,13690002,2017/8/24,A07155,601.89,36.11,638,作废发票
E1,15459892,2017/8/28,A06754,728.16,21.84,750,作废发票
E1,5466141,2017/9/11,A09198,75.47,4.53,80,作废发票
E1,40181581,2017/9/28,A06131,74986.79,4499.21,79486,作废发票
E1,331235,2017/10/4,A01903,306.6,18.4,325,作废发票
E1,1227551,2017/10/7,A11189,1339.39,160.61,1500,作废发票
E1,1227552,2017/10/7,A11189,1339.73,160.67,1500.4,作废发票
E1,1227553,2017/10/7,A11189,1500.66,187.84,1688.5,作废发票
E1,7215420,2017/10/11,A13842,412.62,12.38,425,作废发票
E1,23563822,2017/11/23,A06945,713.59,21.41,735,作废发票
E1,8929488,2017/12/13,A09581,7547.17,452.83,8000,作废发票
E1,44520528,2018/1/8,A13197,368.93,11.07,380,作废发票
E1,8667979,2018/1/31,A03305,6571969.23,1117234.77,7689204,作废发票
E1,25809994,2018/2/1,A02081,541.75,16.25,558,作废发票
E1,12431656,2018/2/26,A07718,3318.3,199.1,3517.4,作废发票
E1,21232513,2018/2/28,A13769,172.82,5.18,178,作废发票
E1,14028171,2018/4/18,A06374,256.41,43.59,300,作废发票
E1,18051405,2018/5/4,A03874,1632.07,97.93,1730,作废发票
E1,1943448,2018/5/29,A03305,9861346.18,1676428.82,11537775,作废发票
E1,1943449,2018/5/29,A03305,9876957.26,1679082.74,11556040,作废发票
E1,1943450,2018/5/29,A03305,9853372.67,1675073.33,11528446,作废发票
E1,1943451,2018/5/29,A03305,9991602.58,1598656.42,11590259,作废发票
E1,1943452,2018/5/29,A03305,5845493.11,935278.89,6780772,作废发票
E1,1943453,2018/5/29,A03305,4033344.82,645335.18,4678680,作废发票
E1,1943460,2018/5/30,A03305,9831572.68,1671367.32,11502940,作废发票
E1,1943461,2018/5/30,A03305,9899911.96,1682985.04,11582897,作废发票
E1,1943462,2018/5/30,A03305,9888319.63,1681014.37,11569334,作废发票
E1,1943463,2018/5/30,A03305,9908517.1,1684447.9,11592965,作废发票
E1,1943464,2018/5/30,A03305,5510270.07,936745.93,6447016,作废发票
E1,1943465,2018/5/30,A03305,8646812.85,1469958.15,10116771,作废发票
E1,1943466,2018/5/30,A03305,4529729.91,770054.09,5299784,作废发票
E1,4083631,2018/5/30,A03305,9884229.06,1680318.94,11564548,作废发票
E1,4083632,2018/5/30,A03305,7824730.77,1330204.23,9154935,作废发票
E1,4083633,2018/5/30,A03305,5897723.08,1002612.92,6900336,作废发票
E1,4083634,2018/5/30,A03305,9888377.77,1681024.23,11569402,作废发票
E1,4083635,2018/5/30,A03305,8692091.45,1477655.55,10169747,作废发票
E1,4083636,2018/5/30,A03305,2659419.65,452101.35,3111521,作废发票
E1,4083639,2018/5/31,A03305,4273365.83,726472.17,4999838,作废发票
E1,4083730,2018/6/29,A03305,9993183.62,1598909.38,11592093,作废发票
E1,29415372,2018/7/16,A06676,167.92,10.08,178,作废发票
E1,9645697,2018/7/18,A13447,384.47,11.53,396,作废发票
E1,1576106,2018/9/17,A03184,86.21,13.79,100,作废发票
E1,3673514,2018/9/19,A03279,870.88,26.12,897,作废发票
E1,1609857,2018/9/20,A07604,4611.65,138.35,4750,作废发票
